ALBERTICO,1,9,0,0,1900
ALBERTICO,1,9,0,1,1901
ALBERTICO,1,9,0,2,1902
ALBERTICO,1,9,0,3,1903
ALBERTICO,1,9,0,4,1904
ALBERTICO,1,9,0,5,1905
ALBERTICO,1,9,0,6,1906
ALBERTICO,1,9,0,7,1907
ALBERTICO,1,9,0,8,1908
ALBERTICO,1,9,0,9,1909
ALBERTICO,1,9,1,0,1910
ALBERTICO,1,9,1,1,1911
ALBERTICO,1,9,1,2,1912
ALBERTICO,1,9,1,3,1913
ALBERTICO,1,9,1,4,1914
ALBERTICO,1,9,1,5,1915
ALBERTICO,1,9,1,6,1916
ALBERTICO,1,9,1,7,1917
ALBERTICO,1,9,1,8,1918
ALBERTICO,1,9,1,9,1919
ALBERTICO,1,9,2,0,1920
ALBERTICO,1,9,2,1,1921
ALBERTICO,1,9,2,2,1922
ALBERTICO,1,9,2,3,1923
ALBERTICO,1,9,2,4,1924
ALBERTICO,1,9,2,5,1925
ALBERTICO,1,9,2,6,1926
ALBERTICO,1,9,2,7,1927
ALBERTICO,1,9,2,8,1928
ALBERTICO,1,9,2,9,1929
ALBERTICO,1,9,3,0,1930
ALBERTICO,1,9,3,1,1931
ALBERTICO,1,9,3,2,1932
ALBERTICO,1,9,3,3,1933
ALBERTICO,1,9,3,4,1934
ALBERTICO,1,9,3,5,1935
ALBERTICO,1,9,3,6,1936
ALBERTICO,1,9,3,7,1937
ALBERTICO,1,9,3,8,1938
ALBERTICO,1,9,3,9,1939
ALBERTICO,1,9,4,0,1940
ALBERTICO,1,9,4,1,1941
ALBERTICO,1,9,4,2,1942
ALBERTICO,1,9,4,3,1943
ALBERTICO,1,9,4,4,1944
ALBERTICO,1,9,4,5,1945
ALBERTICO,1,9,4,6,1946
ALBERTICO,1,9,4,7,1947
ALBERTICO,1,9,4,8,1948
ALBERTICO,1,9,4,9,1949
ALBERTICO,1,9,5,0,1950
ALBERTICO,1,9,5,1,1951
ALBERTICO,1,9,5,2,1952
ALBERTICO,1,9,5,3,1953
ALBERTICO,1,9,5,4,1954
ALBERTICO,1,9,5,5,1955
ALBERTICO,1,9,5,6,1956
ALBERTICO,1,9,5,7,1957
ALBERTICO,1,9,5,8,1958
ALBERTICO,1,9,5,9,1959
ALBERTICO,1,9,6,0,1960
ALBERTICO,1,9,6,1,1961
ALBERTICO,1,9,6,2,1962
ALBERTICO,1,9,6,3,1963
ALBERTICO,1,9,6,4,1964
ALBERTICO,1,9,6,5,1965
ALBERTICO,1,9,6,6,1966
ALBERTICO,1,9,6,7,1967
ALBERTICO,1,9,6,8,1968
ALBERTICO,1,9,6,9,1969
ALBERTICO,1,9,7,0,1970
ALBERTICO,1,9,7,1,1971
ALBERTICO,1,9,7,2,1972
ALBERTICO,1,9,7,3,1973
